date,hour,cnt
2011-01-01,0,16
2011-01-01,1,40
2011-01-01,2,32
2011-01-01,3,13
2011-01-01,4,1
2011-01-01,5,1
2011-01-01,6,2
2011-01-01,7,3
2011-01-01,8,8
2011-01-01,9,14
2011-01-01,10,36
2011-01-01,11,56
2011-01-01,12,84
2011-01-01,13,94
2011-01-01,14,106
2011-01-01,15,110
2011-01-01,16,93
2011-01-01,17,67
2011-01-01,18,35
2011-01-01,19,37
2011-01-01,20,36
2011-01-01,21,34
2011-01-01,22,28
2011-01-01,23,39
2011-01-02,0,17
2011-01-02,1,17
2011-01-02,2,9
2011-01-02,3,6
2011-01-02,4,3
2011-01-02,5,0
2011-01-02,6,2
2011-01-02,7,1
2011-01-02,8,8
2011-01-02,9,20
2011-01-02,10,53
2011-01-02,11,70
2011-01-02,12,93
2011-01-02,13,75
2011-01-02,14,59
2011-01-02,15,74
2011-01-02,16,76
2011-01-02,17,65
2011-01-02,18,53
2011-01-02,19,30
2011-01-02,20,22
2011-01-02,21,31
2011-01-02,22,9
2011-01-02,23,8
2011-01-03,0,5
2011-01-03,1,2
2011-01-03,2,0
2011-01-03,3,0
2011-01-03,4,1
2011-01-03,5,3
2011-01-03,6,30
2011-01-03,7,64
2011-01-03,8,154
2011-01-03,9,88
2011-01-03,10,44
2011-01-03,11,51
2011-01-03,12,61
2011-01-03,13,61
2011-01-03,14,77
2011-01-03,15,72
2011-01-03,16,76
2011-01-03,17,157
2011-01-03,18,157
2011-01-03,19,110
2011-01-03,20,52
2011-01-03,21,52
2011-01-03,22,20
2011-01-03,23,12
2011-01-04,0,5
2011-01-04,1,2
2011-01-04,2,1
2011-01-04,3,0
2011-01-04,4,2
2011-01-04,5,4
2011-01-04,6,36
2011-01-04,7,94
2011-01-04,8,179
2011-01-04,9,100
2011-01-04,10,42
2011-01-04,11,57
2011-01-04,12,78
2011-01-04,13,97
2011-01-04,14,63
2011-01-04,15,65
2011-01-04,16,83
2011-01-04,17,212
2011-01-04,18,182
2011-01-04,19,112
2011-01-04,20,54
2011-01-04,21,48
2011-01-04,22,35
2011-01-04,23,11
2011-01-05,0,6
2011-01-05,1,6
2011-01-05,2,2
2011-01-05,3,0
2011-01-05,4,2
2011-01-05,5,3
2011-01-05,6,33
2011-01-05,7,88
2011-01-05,8,195
2011-01-05,9,115
2011-01-05,10,57
2011-01-05,11,46
2011-01-05,12,79
2011-01-05,13,71
2011-01-05,14,62
2011-01-05,15,62
2011-01-05,16,89
2011-01-05,17,190
2011-01-05,18,169
2011-01-05,19,132
2011-01-05,20,89
2011-01-05,21,43
2011-01-05,22,42
2011-01-05,23,19
2011-01-06,0,11
2011-01-06,1,4
2011-01-06,2,2
2011-01-06,3,0
2011-01-06,4,1
2011-01-06,5,4
2011-01-06,6,36
2011-01-06,7,95
2011-01-06,8,219
2011-01-06,9,122
2011-01-06,10,45
2011-01-06,11,59
2011-01-06,12,84
2011-01-06,13,67
