STATUS	DATA SOLICITAÇÃO	PAÍS DE ORIGEM	GÊNERO	ANO DE NASCIMENTO	CIDADE SOLICITAÇÃO	DATA DA  DECISÃO
ELEGIBILIDADE - DEFERIDO	2014	PAQUISTÃO	M	1987	BRASÍLIA	25/01/2019
ELEGIBILIDADE - DEFERIDO	2017	CUBA	M	1996	RECIFE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	QUÊNIA	F 	2002	BELO HORIZONTE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	QUÊNIA	F	2007	BELO HORIZONTE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	QUÊNIA	M	2012	BELO HORIZONTE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	QUÊNIA	F	2013	BELO HORIZONTE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	QUÊNIA	F	2001	BELO HORIZONTE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	QUÊNIA	M	1973	BELO HORIZONTE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	QUÊNIA	F	1975	BELO HORIZONTE	25/01/2019
ELEGIBILIDADE - DEFERIDO	2015	PAQUISTÃO	M	1989	SÃO PAULO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1997	SÃO PAULO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2018	SÍRIA	M	1992	RIO DE JANEIRO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2018	SÍRIA	M	1994	SÃO PAULO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1996	SÃO PAULO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1995	SÃO PAULO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	M	1971	SÃO PAULO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	F	1980	SÃO PAULO	25/01/2019
ELEGIBILIDADE - DEFERIDO	2017	SÍRIA	F	2011	SÃO PAULO	25/01/2019
